seq,cycles,kind,pc,addr,value,aux,r0,r1,r2,r3,r4,r5,r12,sp,lr
35,11432967,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
36,11713863,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
37,11994759,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
38,12275655,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
39,12556551,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
40,12837447,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
41,13118343,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
42,13399239,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
43,13680135,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
44,13961031,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
45,14241927,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
46,14522823,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
47,14803719,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
48,15084615,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
49,15365511,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
50,15646407,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
51,15927303,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
52,16208199,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
53,16489095,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
54,16769991,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
55,17050887,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
56,17331783,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
57,17612679,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
58,17893575,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
59,18174471,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
60,18455367,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
61,18736263,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
62,19017159,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
63,19298055,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
64,19578951,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
